Feature_Set,Model,MAE,MSE
All_Features,Linear Regression,7.272184457182909e-12,1.1662684258194654e-22
All_Features,Decision Tree,0.3095904989066795,1.03781955435677
All_Features,Neural Network,0.3711761305038533,1.631254916174009
Season_Features,Linear Regression,3.1381425236176597e-12,1.9849239343584557e-23
Season_Features,Decision Tree,57.55135888748868,117269.76310703774
Season_Features,Neural Network,0.7887696663481988,2.4460738775179047
